Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
┏━━━━━━━━━━━━━━┳━━━━━━━╸T╺╸R╺╸A╺╸I╺╸N╺━━━━━━━┳━━━━━━━╸S╺╸T╺╸A╺╸T╺╸S╺━━━━━━━┳━━━━━━━╸V╺╸A╺╸L╺╸I╺╸D╺━━━━━━━┓
┃              ┃              ╷              ┃              ╷              ┃              ╷              ┃
┃       epoch  ┃        loss  │    accuracy  ┃        l.r.  │     elapsed  ┃        loss  │    accuracy  ┃
┠──────────────╂──────────────┼──────────────╂──────────────┼──────────────╂──────────────┼──────────────┨
┃           1  ┃      1.6423  │     19.92 %  ┃   1.000e-01  │   00:47 min  ┠┈██████████▓┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0001 | Δ: -0.3269 | current_val_loss: 1.6425 | running_val_loss: 1.8162 | best_val_loss: 1.4893
┃           1  ┃      1.6319  │     22.42 %  ┃   1.000e-01  │   00:50 min  ┠┈███████████▒┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3544 | current_val_loss: 2.0916 | running_val_loss: 1.8437 | best_val_loss: 1.4893
┃           1  ┃      1.6475  │     18.98 %  ┃   1.000e-01  │   00:53 min  ┠┈████████████░┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0001 | Δ: -0.3332 | current_val_loss: 1.6319 | running_val_loss: 1.8225 | best_val_loss: 1.4893
┃           1  ┃      1.6930  │     19.53 %  ┃   1.000e-01  │   00:56 min  ┠┈█████████████┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0001 | Δ: -0.3097 | current_val_loss: 1.5874 | running_val_loss: 1.7990 | best_val_loss: 1.4893
┃           1  ┃      1.6543  │     19.38 %  ┃   1.000e-01  │   00:59 min  ┠┈█████████████▓┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3364 | current_val_loss: 2.0665 | running_val_loss: 1.8258 | best_val_loss: 1.4893
┃           1  ┃      1.7067  │     19.69 %  ┃   1.000e-01  │   01:02 min  ┠┈██████████████▒┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3994 | current_val_loss: 2.4557 | running_val_loss: 1.8888 | best_val_loss: 1.4893
┃           1  ┃      1.6558  │     21.17 %  ┃   1.000e-01  │   01:05 min  ┠┈███████████████░┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4471 | current_val_loss: 2.3656 | running_val_loss: 1.9365 | best_val_loss: 1.4893
┃           1  ┃      1.7004  │     20.23 %  ┃   1.000e-01  │   01:08 min  ┠┈████████████████┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4842 | current_val_loss: 2.3072 | running_val_loss: 1.9735 | best_val_loss: 1.4893
┃           1  ┃      1.6676  │     18.44 %  ┃   1.000e-01  │   01:11 min  ┠┈████████████████▒┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4487 | current_val_loss: 1.6184 | running_val_loss: 1.9380 | best_val_loss: 1.4893
┃           1  ┃      1.6691  │     19.92 %  ┃   1.000e-01  │   01:15 min  ┠┈█████████████████░┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4214 | current_val_loss: 1.6647 | running_val_loss: 1.9107 | best_val_loss: 1.4893
┃           1  ┃      1.6952  │     18.83 %  ┃   1.000e-01  │   01:18 min  ┠┈██████████████████┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3927 | current_val_loss: 1.6242 | running_val_loss: 1.8820 | best_val_loss: 1.4893
┃           1  ┃      1.6536  │     18.75 %  ┃   1.000e-01  │   01:21 min  ┠┈██████████████████▓┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3881 | current_val_loss: 1.8356 | running_val_loss: 1.8774 | best_val_loss: 1.4893
┃           1  ┃      1.6264  │     19.45 %  ┃   1.000e-01  │   01:24 min  ┠┈███████████████████▒┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4336 | current_val_loss: 2.3325 | running_val_loss: 1.9229 | best_val_loss: 1.4893
┃           1  ┃      1.6810  │     20.39 %  ┃   1.000e-01  │   01:27 min  ┠┈████████████████████░┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4534 | current_val_loss: 2.1215 | running_val_loss: 1.9428 | best_val_loss: 1.4893
┃           1  ┃      1.6723  │     19.61 %  ┃   1.000e-01  │   01:30 min  ┠┈█████████████████████┈┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.4318 | current_val_loss: 1.7262 | running_val_loss: 1.9211 | best_val_loss: 1.4893
┃           1  ┃      1.6432  │     21.25 %  ┃   1.000e-01  │   01:33 min  ┠┈█████████████████████▓┈┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.6346 | current_val_loss: 3.9496 | running_val_loss: 2.1240 | best_val_loss: 1.4893
┃           1  ┃      1.7032  │     19.22 %  ┃   1.000e-01  │   01:36 min  ┠┈██████████████████████▒┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.6344 | current_val_loss: 2.1220 | running_val_loss: 2.1238 | best_val_loss: 1.4893
┃           1  ┃      1.6706  │     19.69 %  ┃   1.000e-01  │   01:39 min  ┠┈███████████████████████░┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.6409 | current_val_loss: 2.1888 | running_val_loss: 2.1303 | best_val_loss: 1.4893
┃           1  ┃      1.6962  │     19.14 %  ┃   1.000e-01  │   01:43 min  ┠┈████████████████████████┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.5933 | current_val_loss: 1.6537 | running_val_loss: 2.0826 | best_val_loss: 1.4893
┃           1  ┃      1.6472  │     20.23 %  ┃   1.000e-01  │   01:46 min  ┠┈████████████████████████▒┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.5807 | current_val_loss: 1.9568 | running_val_loss: 2.0700 | best_val_loss: 1.4893
┃           1  ┃      1.6424  │     21.02 %  ┃   1.000e-01  │   01:49 min  ┠┈█████████████████████████░┈┈┨Adaptive alpha: 0.0000 | Δ: -0.5233 | current_val_loss: 1.4962 | running_val_loss: 2.0126 | best_val_loss: 1.4893
